M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
64,256,5120,False,torch.bfloat16,torch.float32,False,False
80,256,5120,False,torch.bfloat16,torch.float32,False,False
128,256,5120,False,torch.bfloat16,torch.float32,False,False
150,256,5120,False,torch.bfloat16,torch.float32,False,False
192,256,5120,False,torch.bfloat16,torch.float32,False,False
220,256,5120,False,torch.bfloat16,torch.float32,False,False
256,256,5120,False,torch.bfloat16,torch.float32,False,False
384,256,5120,False,torch.bfloat16,torch.float32,False,False
448,256,5120,False,torch.bfloat16,torch.float32,False,False
512,256,5120,False,torch.bfloat16,torch.float32,False,False